,index,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Signal,MACD_Hist,RSI,WILLR,ADX,MOM,Labels,Price Diffs
7,2018-07-18,191.78,191.8,189.93,190.4,16393381.0,1.1334,0.7085,0.4249,55.8753,-23.1006,15.9417,6.48,1,0.17
8,2018-07-17,189.75,191.87,189.2,191.45,15534523.0,1.1261,0.6023,0.5238,58.9922,-12.3203,16.2467,4.27,1,4.41
9,2018-07-16,191.52,192.65,190.415,190.91,15043110.0,0.9936,0.4713,0.5222,57.8699,-17.2107,16.5751,5.8,1,2.02
10,2018-07-13,191.08,191.84,190.9,191.33,12519792.0,0.8649,0.3408,0.5242,59.0368,-4.5905,16.2642,5.83,1,1.15
11,2018-07-12,189.53,191.41,189.31,191.03,18041131.0,0.6454,0.2097,0.4356,58.4815,-3.5581,16.2357,6.87,1,0.25
12,2018-07-11,188.5,189.7799,187.61,187.88,18831470.0,0.3863,0.1008,0.2855,52.1583,-32.2275,16.3675,3.45,1,2.56
13,2018-07-10,190.71,191.28,190.1801,190.35,15939149.0,0.3708,0.0295,0.3413,58.6636,-8.8152,17.1538,8.18,0,-0.49
14,2018-07-09,189.5,190.68,189.3,190.58,19756634.0,0.094,-0.0558,0.1499,59.3031,-1.005,16.6331,5.66,1,0.63
15,2018-07-06,185.42,188.434,185.2,187.97,17485245.0,-0.284,-0.0933,-0.1907,54.0213,-14.7232,16.2928,2.51,1,4.0
16,2018-07-05,185.26,186.41,184.28,185.4,16604248.0,-0.4966,-0.0456,-0.451,47.8306,-50.4772,16.8413,-1.1,1,6.13
17,2018-07-03,187.79,187.95,183.54,183.92,13954806.0,-0.4991,0.0671,-0.5662,43.783,-70.572,17.8334,-1.77,1,7.36
18,2018-07-02,183.82,187.3,183.42,187.18,17731343.0,-0.3443,0.2086,-0.5529,52.0416,-46.9136,18.9019,-1.56,1,5.89
19,2018-06-29,186.29,187.19,182.91,185.11,22737666.0,-0.4736,0.3469,-0.8205,46.0404,-63.9506,19.7197,-3.73,1,4.7
20,2018-06-28,184.1,186.21,183.8,185.5,17365235.0,-0.421,0.552,-0.973,47.0709,-60.7407,20.5457,-5.3,1,6.38
21,2018-06-27,185.2278,187.28,184.03,184.16,25285328.0,-0.3875,0.7952,-1.1827,43.0007,-71.7695,20.9524,-6.54,1,5.27
22,2018-06-26,182.99,186.53,182.54,184.43,24569201.0,-0.2026,1.0909,-1.2936,43.6284,-72.5316,21.4732,-7.85,1,2.66
23,2018-06-25,183.4,184.92,180.73,182.17,31663096.0,0.0088,1.4143,-1.4056,36.4138,-89.3096,21.6826,-9.06,1,3.55
24,2018-06-22,186.12,186.15,184.7,184.92,27200447.0,0.5086,1.7657,-1.2571,42.5697,-86.3256,21.116,-6.78,0,-1.16
25,2018-06-21,187.25,188.35,184.94,185.46,25711898.0,0.8591,2.08,-1.2209,43.9237,-81.3023,21.8578,-8.0,0,-1.52
26,2018-06-20,186.35,187.2,185.73,186.5,20628701.0,1.2391,2.3852,-1.1461,46.5727,-71.6279,22.7526,-7.48,0,-2.82
27,2018-06-19,185.14,186.33,183.45,185.69,33578455.0,1.6001,2.6717,-1.0716,44.1361,-79.1628,23.1488,-7.62,1,0.35
28,2018-06-18,187.88,189.22,187.2,188.74,18484865.0,2.1201,2.9396,-0.8195,52.5092,-67.7419,23.129,-3.09,0,-3.17
29,2018-06-15,190.03,190.16,188.26,188.84,61719160.0,2.4424,3.1445,-0.7021,52.8142,-66.5012,24.5576,-1.4,0,-5.72
30,2018-06-14,191.55,191.57,190.22,190.8,21610074.0,2.8081,3.3201,-0.5119,59.0585,-42.1836,26.2902,3.93,0,-9.49
31,2018-06-13,192.42,192.88,190.44,190.7,21638393.0,3.0345,3.448,-0.4135,58.8279,-43.4243,27.1001,3.2,0,-5.74
32,2018-06-12,191.385,192.611,191.15,192.28,16911141.0,3.2895,3.5514,-0.2619,64.1275,-22.7488,27.8457,4.38,0,-6.21
33,2018-06-11,191.35,191.97,190.21,191.23,18308460.0,3.4062,3.6169,-0.2107,62.0159,-35.1896,28.2468,2.65,0,-4.48
34,2018-06-08,191.17,192.0,189.77,191.7,26656799.0,3.6125,3.6696,-0.057,63.5712,-29.6209,28.9093,3.55,0,-6.32
35,2018-06-07,194.14,194.2,192.335,193.46,21347180.0,3.7755,3.6838,0.0917,69.6448,-8.7678,29.6228,5.1,0,-5.14
36,2018-06-06,193.63,194.08,191.92,193.98,20933619.0,3.7494,3.6609,0.0884,71.5195,-1.2019,28.9704,6.82,0,-3.66
37,2018-06-05,193.065,193.94,192.36,193.31,21565963.0,3.6085,3.6388,-0.0303,70.5718,-7.7017,28.3,5.68,0,-2.14
38,2018-06-04,191.635,193.42,191.35,191.83,26266174.0,3.4445,3.6464,-0.2018,68.416,-19.1106,27.3288,5.52,0,-0.91
39,2018-06-01,187.9912,190.26,187.75,190.24,23442510.0,3.3358,3.6968,-0.3611,65.9259,-0.3876,26.4034,3.25,1,3.4
40,2018-05-31,187.22,188.23,186.14,186.87,27482793.0,3.3104,3.7871,-0.4767,59.6678,-64.3145,26.2271,-1.31,1,4.07
41,2018-05-30,187.72,188.0,186.78,187.5,18690547.0,3.5729,3.9063,-0.3334,61.6328,-54.4592,26.6803,1.06,1,2.99
42,2018-05-29,187.6,188.75,186.87,187.9,22514075.0,3.7918,3.9896,-0.1978,62.8531,-46.8691,26.8394,-0.25,1,5.47
43,2018-05-25,188.23,189.65,187.65,188.58,17460963.0,3.9754,4.0391,-0.0637,64.881,-26.6965,26.966,-0.01,1,4.27
44,2018-05-24,188.77,188.84,186.21,188.15,23233975.0,4.0826,4.055,0.0276,64.2029,-33.1096,26.727,-1.89,1,6.15
45,2018-05-23,186.35,188.5,185.76,188.36,20058415.0,4.2039,4.0481,0.1558,64.7701,-16.4754,26.6797,1.0,1,5.59
46,2018-05-22,188.375,188.88,186.78,187.16,15240704.0,4.2762,4.0092,0.267,63.0373,-20.1521,26.7152,1.11,1,0.97
47,2018-05-21,188.0,189.27,186.9106,187.63,18400787.0,4.4284,3.9424,0.486,64.1855,-16.5359,26.3165,2.47,0,-0.77
48,2018-05-18,187.19,187.8102,186.13,186.31,18297728.0,4.5105,3.8209,0.6896,62.3995,-16.1753,25.8326,2.48,1,0.65
49,2018-05-17,188.0,188.91,186.36,186.99,17294029.0,4.684,3.6485,1.0355,63.9244,-11.8472,25.6179,10.1,1,0.51
50,2018-05-16,186.07,188.46,186.0,188.18,19183064.0,4.7681,3.3897,1.3784,66.5678,-7.3638,25.3004,11.61,1,1.65
51,2018-05-15,186.78,187.07,185.1,186.44,23695159.0,4.6849,3.0451,1.6398,64.579,-13.2145,25.0456,17.34,1,1.11
52,2018-05-14,189.01,189.53,187.86,188.15,20778772.0,4.6877,2.6351,2.0526,68.2859,-7.4647,25.0371,22.89,0,-2.1
53,2018-05-11,189.49,190.06,187.45,188.59,26212221.0,4.449,2.122,2.3271,69.2355,-5.9852,24.0838,26.27,0,-0.67
54,2018-05-10,187.74,190.37,187.65,190.04,27989289.0,4.0349,1.5402,2.4947,72.3125,-1.1096,23.0572,25.82,0,-0.74
55,2018-05-09,186.55,187.4,185.22,187.36,23211241.0,3.3,0.9165,2.3835,70.0262,-1.1464,21.8864,23.71,1,0.91
56,2018-05-08,184.99,186.22,183.665,186.05,28402777.0,2.5868,0.3206,2.2662,68.8591,-5.9911,21.0667,23.11,1,2.7
57,2018-05-07,185.18,187.67,184.75,185.16,42451423.0,1.7723,-0.2459,2.0182,68.0749,-9.2825,20.3682,19.92,1,1.25
58,2018-05-04,178.25,184.25,178.17,183.83,56201317.0,0.7976,-0.7505,1.548,66.9188,-1.7782,19.303,18.11,1,6.93
59,2018-05-03,175.88,177.5,174.4411,176.89,34068180.0,-0.3228,-1.1375,0.8147,59.8794,-11.1791,18.6655,4.09,1,13.42
60,2018-05-02,175.225,177.75,173.8,176.57,66539371.0,-1.0414,-1.3412,0.2998,59.5105,-12.9271,19.2393,-1.27,1,13.65
61,2018-05-01,166.4102,169.2,165.27,169.1,53569376.0,-1.9109,-1.4161,-0.4948,49.432,-53.7323,19.8572,-9.14,1,22.38
62,2018-04-30,162.1302,167.26,161.84,165.26,42427424.0,-2.2323,-1.2924,-0.9399,42.6135,-74.7084,20.0044,-10.56,1,23.38
63,2018-04-27,164.0,164.33,160.63,162.32,35655839.0,-2.2191,-1.0574,-1.1617,36.529,-90.7683,19.4886,-12.41,1,23.03
64,2018-04-26,164.12,165.73,163.37,164.22,27963014.0,-1.8706,-0.767,-1.1036,39.0111,-83.0671,17.7993,-9.92,1,21.38
65,2018-04-25,162.62,165.42,162.41,163.65,28382084.0,-1.5921,-0.4911,-1.101,37.8344,-86.2845,16.4862,-8.79,1,15.76
66,2018-04-24,165.67,166.33,161.2201,162.94,33692017.0,-1.1554,-0.2159,-0.9395,36.4155,-90.292,14.9481,-10.31,1,13.22
67,2018-04-23,166.8348,166.92,164.09,165.24,36515477.0,-0.5089,0.019,-0.5279,39.1001,-92.2541,13.2916,-4.81,1,9.71
68,2018-04-20,170.595,171.2184,165.43,165.72,65491140.0,0.0895,0.151,-0.0614,39.6668,-93.294,12.0229,-2.66,0,-0.16
69,2018-04-19,174.95,175.39,172.66,172.8,34808800.0,0.8031,0.1663,0.6368,49.4913,-42.4187,10.9152,0.0,0,-10.82
70,2018-04-18,177.81,178.82,176.88,177.84,20754538.0,0.9813,0.0071,0.9742,59.1801,-7.5796,11.5092,6.23,0,-16.25
71,2018-04-17,176.49,178.9365,176.41,178.24,26605442.0,0.6814,-0.2365,0.9179,60.0464,-4.8146,11.1029,9.85,0,-13.04
72,2018-04-16,175.0301,176.19,174.8301,175.82,21578420.0,0.2479,-0.4659,0.7138,56.4663,-3.157,10.6653,9.14,0,-12.42
73,2018-04-13,174.78,175.84,173.85,174.73,25124255.0,-0.0625,-0.6444,0.5818,54.7713,-9.7625,11.0328,6.95,0,-12.63
74,2018-04-12,173.41,175.0,173.04,174.14,22889285.0,-0.3469,-0.7898,0.4429,53.8685,-9.4569,11.5425,7.66,0,-8.95
75,2018-04-11,172.23,173.9232,171.7,172.44,22431640.0,-0.6448,-0.9006,0.2558,51.2658,-25.3745,12.3589,4.1,0,-6.27
76,2018-04-10,173.0,174.0,171.53,173.25,28614241.0,-0.8425,-0.9645,0.122,52.5782,-17.7903,13.0362,0.48,1,1.13
77,2018-04-09,169.88,173.09,169.845,170.05,29017718.0,-1.1651,-0.995,-0.1701,47.6629,-54.7445,13.7656,5.11,1,7.03
78,2018-04-06,170.97,172.48,168.2,168.38,35005290.0,-1.234,-0.9525,-0.2816,44.8951,-69.9231,14.2794,-0.47,1,8.21
79,2018-04-05,172.58,174.2304,172.08,172.8,26933197.0,-1.1341,-0.8821,-0.252,51.602,-43.1399,14.6541,1.53,1,2.75
80,2018-04-04,164.88,172.01,164.77,171.61,34605489.0,-1.44,-0.8191,-0.6209,49.7243,-54.7242,15.4813,-3.63,1,9.08
81,2018-04-03,167.64,168.7455,164.88,168.39,30278046.0,-1.6884,-0.6638,-1.0245,44.2941,-75.5763,16.3463,-6.91,1,8.16
82,2018-04-02,167.88,168.94,164.47,166.68,37586791.0,-1.653,-0.4077,-1.2453,41.1602,-88.3868,16.2297,-11.34,1,7.23
83,2018-03-29,167.805,171.75,166.9,167.78,38398505.0,-1.4097,-0.0964,-1.3133,42.5915,-84.6983,16.1041,-10.87,1,4.63
84,2018-03-28,167.25,170.02,165.19,166.48,41668545.0,-1.1906,0.2319,-1.4225,40.3138,-91.7026,16.5475,-11.96,1,4.66
85,2018-03-27,173.68,175.15,166.92,168.34,38962839.0,-0.7613,0.5876,-1.3489,42.557,-81.681,16.4781,-11.63,1,1.28
86,2018-03-26,168.07,173.1,166.44,172.77,36272617.0,-0.3917,0.9248,-1.3164,48.5289,-57.8125,16.8075,-8.95,1,5.64
87,2018-03-23,168.39,169.92,164.94,164.94,40248954.0,-0.3652,1.2539,-1.6191,33.1274,-100.0,16.5122,-15.04,0,-0.17
88,2018-03-22,170.0,172.68,168.6,168.85,41051076.0,0.4711,1.6587,-1.1876,38.4643,-98.3221,15.0651,-8.09,0,-3.72
89,2018-03-21,175.04,175.09,171.26,171.27,35247358.0,1.1335,1.9556,-0.822,42.389,-99.9183,14.2503,-3.76,0,-6.79
90,2018-03-20,175.24,176.8,174.94,175.24,19314039.0,1.7162,2.1611,-0.4449,50.1901,-74.7511,14.0144,-1.43,0,-8.04
91,2018-03-19,177.32,177.47,173.66,175.3,32804695.0,2.0306,2.2723,-0.2417,50.32,-74.2081,14.8314,-1.52,0,-8.47
92,2018-03-16,178.65,179.12,177.62,178.02,36836456.0,2.3964,2.3327,0.0636,56.4761,-49.5928,15.7112,1.81,0,-10.7
93,2018-03-15,178.5,180.24,178.0701,178.65,22584565.0,2.5514,2.3168,0.2346,58.0022,-43.8914,15.8046,3.65,0,-11.63
94,2018-03-14,180.32,180.52,177.81,178.44,29075469.0,2.648,2.2582,0.3898,57.648,-45.7919,15.7297,0.32,0,-12.87
95,2018-03-13,182.59,183.5,179.24,179.97,31168404.0,2.7541,2.1607,0.5934,61.1366,-29.9406,15.649,1.58,0,-10.64
96,2018-03-12,180.29,182.39,180.21,181.72,32055405.0,2.6938,2.0124,0.6814,65.336,-5.8875,15.0432,2.75,0,-8.95
97,2018-03-09,177.96,180.0,177.39,179.98,31385134.0,2.3994,1.842,0.5574,62.9888,-6.6111,14.6464,4.48,0,-2.45
98,2018-03-08,175.48,177.12,175.07,176.94,23163767.0,2.1659,1.7027,0.4632,58.4214,-38.2613,14.8029,4.44,0,-1.41
99,2018-03-07,174.94,175.85,174.27,175.03,31703462.0,2.1459,1.5869,0.559,55.1955,-48.0844,15.7722,3.96,1,3.35
